E3 Binder SMILES,E3 Binder ID
CCC[C@H](N)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1,0
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C,1
CNC(=O)C[C@H](NC(=O)[C@H]1C[C@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(F)cc1,2
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C(C)C)N2Cc3ccccc3C2=O)c(O)c1,3
Cc1nc(C)c(-c2ccc([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](N)C(C)(C)C)cc2)s1,4
O=C1CCC(N2Cc3cc4c(cc3C2=O)CNC4)C(=O)N1,5
COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,6
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OC)c2)cs1)C1CCCCC1,7
CNC(=O)C[C@@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,8
CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,9
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C(C)C)N2Cc3ccccc3C2=O)cc1,10
O=C(CCl)NC(C(=O)NCc1ccccc1)c1ccc(Cl)cc1,11
CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@H]1CCCc2ccccc21)C(C)(C)C,12
CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C#N)cc1)C(C)(C)C,13
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1,14
CCC(C)c1cc2c(n(-c3ccc(=O)n(CC(=O)O)c3)c1=O)CN(C(=O)OCCOC)CC2,15
O=C1CCC(NC(=O)c2ccccc2)C(=O)N1,16
