ID,SMILES
0,NC(=O)CC=O
1,NC(=O)CCC=O
2,NC(=O)CCCC=O
3,NC(=O)CCCCC=O
4,NC(=O)CCCCCC=O
5,NC(=O)CCCCCCC=O
6,NCCCCC=O
7,NCCCCCC=O
8,NCCCCCCC=O
9,NCCCCCCCC=O
10,NC(=O)CCOCCC=O
11,NC(=O)COCCOCC=O
12,NC(=O)COCCCOCC=O
13,NCCOCC=O
14,NCCOCCOCC=O
15,CCCCC=O
16,CCC=O
17,CCCC=O
18,CCCCCC=O
19,CCCCCCC=O
20,CCCCCCCC=O
21,COCC=O
22,COCCOCC=O
23,COCCOCCOCC=O
24,CCCC(N)=O
25,CCCCC(N)=O
26,CCCCCC(N)=O
27,CCCCCCC(N)=O
28,CCCCCCCC(N)=O
29,CCCN
30,CCCCN
31,CCCCCN
32,CCOCCOCC(N)=O
33,CCOCCOCCOCC(N)=O
34,CCOCCOCCOCCOCC(N)=O
35,CCOCCOCCNC(N)=O
36,CCOCCOCCNC(N)=S
37,CCOCCN
38,CCOCCOCCN
39,CCOCCOCCOCCN
40,CCOCCOCc1cn(CC)nn1
41,CCOCCOCCOCc1cn(CC)nn1
42,CCCCCn1cc(COCCOCC)nn1
43,CCCCCn1cc(COCCOCCOCC)nn1
44,C
45,CC
46,CCC
47,CCCC
48,CCCCCC
49,CCOC
50,CCOCCOC
51,CCOCCOCCOC
52,CCCCCCCCCCC=O
53,CCCCCCCCCCCN
54,CCCCCCCCCN
55,CCCCCCCN
56,CCCCCCCCC=O
57,C#CCOCCOCCOCCC=O
58,C#CCCCCCCCCCCC=O
59,C#CCOCCOCCOCCO
60,C#CCCCCCCCCCCO
61,C#CCCC=O
62,C#CCCCC=O
63,C#CCN1CCC2(CC1)CCN(c1ncc(C=O)cn1)CC2
64,CCCCOCCOCCOCCCCCC=O
65,COCCOCCOCCOCCOCCC=O
66,COCCOCCOCCOCCC=O
67,COCCOCCOCCC=O
68,COCCOCCC=O
69,CCOCC=O
70,CCCCCCCCCCCCCC=O
71,CCCCCCCCCCCC=O
72,CC=O
73,CCc1cn(CCCC=O)nn1
74,CCCNC(=O)CCCCCCCCC=O
75,Cc1cn(CCCN)nn1
76,CCOCCOCCOCc1cn(CCOCCOCCOCCOCCOCCNC(C)=O)nn1
77,CCOCCOCCOCc1cn(CCCCCC=O)nn1
78,O=CNCCCCNC(=O)CO
79,CCCCCCNC=O
80,CCCCCNC=O
81,CCCCNC=O
82,CCCNC=O
83,CCOCCOCCNC=O
84,COCCOCCOCCOCC=O
85,O=CCCCCCCCCCO
86,O=CCOCCOCCOCCOCCO
87,O=CCOCCOCCOCCOCCOCCOCCO
88,NCCCCCCCCCC=O
89,NCCOCCOCCOCCOCC=O
90,NCCOCCOCCOCCOCCOCCOCC=O
91,NCc1cn(CCCCCCCC=O)nn1
92,NCC(=O)NCCC=O
93,CCOCCOCCn1cc(CN)nn1
94,COCCOCCNC(C)=O
95,O=C(CO)NCCCCNC(=O)CCC(=O)N1CCN(CCO)CC1
96,O=C(CO)NCCCOCCOCCOCCCNC(=O)CCC(=O)N1CCN(CCO)CC1
97,O=C(CO)NCCCCCCCCNC(=O)CN1CCN(CCO)CC1
98,CC(=O)NCCOCCOCCO
99,O=C(CO)NCCCCCCCCNC(=O)CCC(=O)N1CCN(CCO)CC1
100,O=C(CO)NCCCCNC(=O)CN1CCN(CCO)CC1
101,O=C(CO)NCCCOCCOCCOCCCNC(=O)CN1CCN(CCO)CC1
102,CC(=O)NCCOCCOCCN1CCN(CCO)CC1
103,CC(=O)NCCOCCOCCOCCO
104,O=CCOCCCCO
105,O=CCOCCOCCO
106,O=CCCCCCOCCO
107,O=CCOCCCOCCCO
108,O=CCOCCOCCOCCO
109,O=CCOCCCOCCCCCO
110,O=CCOCCOCCOCCCCO
111,O=CCOCCCOCCCCOCCCO
112,O=CCCCCCOCCCCOCCCCO
113,O=CCOCCOCCOCCOCCOCCO
114,O=CCOCCOCCCCOCCCCOCCO
115,O=CCCOCCCOCCCOCCCOCCCO
116,O=CCOCCOCCCCOCCCCOCCOCCO
117,O=CCOCCCCCOCCCCOCCCCOCCCCOCCCCCO
118,O=C(CO)NCCCCn1ccnn1
119,CCCCO
120,COCCC=O
121,NCCOCCOCC(N)=O
122,NCCCCCCOCCOCC=O
123,NCCCCOCCCCOCC=O
124,NCCCOCCCOCCC=O
125,NCCCCNC(=O)CO
126,O=CCCC(=O)NCCCCNC(=O)CO
127,O=CCCC(=O)NCCCOCCOCCOCCCNC(=O)CO
128,CCCCCOCCOCCOCCCCCC=O
129,CCCCCOCCOCC=O
130,CCCCCOCCOCCOCCOCCOCCOCC=O
131,CCCCCOCCCCCOCCCCCC=O
132,CCCCOCCOCC=O
133,CCCCOCCOCCOCCOCCOCCOCC=O
134,CCCCOCCCCCOCCCCCC=O
135,NCCCCCCCCNC(=O)CO
136,O=CNCCCOCCOCCOCCCNC(=O)CO
137,O=CNCCCCCCO
138,O=CN1CCC(C2CCN(C(=O)O)CC2)CC1
139,CCOCCOCCOCCNC=O
140,NCCCCCCCCNC=O
141,CCCCCCCCNC=O
142,NCCCCCCNC=O
143,O=CCOCCOCCOCCNC=O
144,O=CNCCCCCCCCNC(=O)CO
145,CCOCCOCCOCCNC(C)=O
146,CCCOCCOCCOCCN
147,O=CNC=O
148,CCCCNC(C)=O
149,CC(=O)NCCCCO
150,NC(=O)CCC(=O)NCCCOCCOCCOCCCNC(=O)CO
151,NC(=O)CO
152,O=CCCNC(=O)CCCOCCOCCOCCCNC(=O)CO
153,O=CCO
154,O=CCCCNC(=O)CO
155,CCOCCOCCO
156,Cc1ccc(CCO)cc1
157,Cc1ccc(OCCO)cc1
158,CCCCCCCC
159,O=CCCCCCNC(=O)CO
160,CCNC(=O)CCC=O
161,CCCCNC(=O)CCC=O
162,CCCCCCNC(=O)CCC=O
163,O=CCCC(=O)NCCNC(=O)CO
164,O=CCCC(=O)NCCCCCCNC(=O)CO
165,O=CCOCCOCCNC(=O)CO
166,O=CCCC(=O)NCCCOCCOCCOCCNC(=O)CO
167,NCCNC(=O)CCC=O
