PROTAC SMILES,E3 Binder SMILES with direction,Linker SMILES with direction,POI Ligand SMILES with direction,E3 Binder SMILES,Linker SMILES,POI Ligand SMILES,Notes
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CNC(=O)c2cccc(-c3ccc(N4CCN(C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N[*:2])C(C)(C)C)cc1,O=C(CN[*:1])[*:2],CN1CCN(c2ccc(-c3cccc(C(=O)[*:1])c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,NCC=O,CN1CCN(c2ccc(-c3cccc(C=O)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,Manually mapped
Cc1ncsc1-c1ccc2c(c1)OCCOCC(NC(=O)CC1N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc31)COCCOCCOCC(=O)NC(C(C)(C)C)C(=O)N1CC(O)CC1C(=O)NC2,Cc1ncsc1-c1ccc2c(c1)OCCOCC(N[*:2])COCCOCCOCC(=O)NC(C(C)(C)C)C(=O)N1CC(O)CC1C(=O)NC2,[*:1][*:2],Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=NC(CC(=O)[*:1])c1nnc(C)n1-2,Cc1ncsc1-c1ccc2c(c1)OCCOCC(N)COCCOCCOCC(=O)NC(C(C)(C)C)C(=O)N1CC(O)CC1C(=O)NC2,,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=NC(CC=O)c1nnc(C)n1-2,Manually mapped
Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccc(F)cc1)cn2C1OC(COP(=O)(O)NCCCCCC(=O)NC2CCC=C3C(=O)N(C4CCC(=O)NC4=O)CC32)C(O)C1O,Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccc(F)cc1)cn2C1OC(COP(=O)(O)[*:2])C(O)C1O,O=C(CCCCCN[*:2])[*:1],O=C1CCC(N2CC3C(=CCCC3N[*:1])C2=O)C(=O)N1,Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccc(F)cc1)cn2C1OC(CO[PH](=O)O)C(O)C1O,NCCCCCC=O,NC1CCC=C2C(=O)N(C3CCC(=O)NC3=O)CC21,Manually mapped
CC(C)(C)NC(=O)C(C1CCCCC1)N(Cc1cc(F)c(F)c(F)c1)C(=O)CCCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCCC#C[*:2])[*:1],CC(C)(C)NC(=O)C(C1CCCCC1)N(Cc1cc(F)c(F)c(F)c1)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCCC=O,CC(C)(C)NC(=O)C(NCc1cc(F)c(F)c(F)c1)C1CCCCC1,Manually mapped
Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccccc1)cn2[C@H]1O[C@@H](COP(=O)(O)NCCCCCC(=O)N[C@@H]2CCC=C3C(=O)N([C@H]4CCC(=O)NC4=O)CC32)[C@H](O)[C@@H]1O,O=C1CC[C@H](N2CC3C(=CCC[C@H]3N[*:2])C2=O)C(=O)N1,O=C(CCCCCN[*:1])[*:2],Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccccc1)cn2[C@H]1O[C@@H](COP(=O)(O)[*:1])[C@H](O)[C@@H]1O,N[C@@H]1CCC=C2C(=O)N([C@H]3CCC(=O)NC3=O)CC21,NCCCCCC=O,Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccccc1)cn2[C@H]1O[C@@H](CO[PH](=O)O)[C@H](O)[C@@H]1O,Manually mapped
COc1cc(C2CCN(CCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)N[C@@H](C)c3ccc(-c4scnc4C)cc3)C(C)(C)C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2N(C)S(C)(=O)=O)n1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,COc1cc(C2CCN(CCCCCC(=O)[*:2])CC2)ccc1[*:1],CN(c1ccccc1Nc1nc(N[*:1])ncc1Cl)S(C)(=O)=O,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,COc1cccc(C2CCN(CCCCCC=O)CC2)c1,CN(c1ccccc1Nc1nc(N)ncc1Cl)S(C)(=O)=O,Manually mapped
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CNC(=O)c2ccc(F)c(-c3ccc(N4CCN(C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)c2)C(C)(C)C)cc1,CN1CCN(c2ccc(-c3cc(C(=O)[*:2])ccc3F)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,O=C(CN[*:2])[*:1],Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:1])C(C)(C)C)cc1,CN1CCN(c2ccc(-c3cc(C=O)ccc3F)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,NCC=O,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,Manually mapped
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CNC(=O)c2cccc(-c3ccc(N4CC(C)N(C)C(C)C4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N[*:2])C(C)(C)C)cc1,O=C(CN[*:1])[*:2],CC1CN(c2ccc(-c3cccc(C(=O)[*:1])c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC(C)N1C,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,NCC=O,CC1CN(c2ccc(-c3cccc(C=O)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC(C)N1C,Manually mapped
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(CC)C(=O)CCCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCCC#C[*:2])[*:1],CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(CC)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCCC=O,CCNC(C(=O)NC(C)(C)C)c1c(C(=O)OCC)[nH]c2cc(Cl)ccc12,Manually mapped
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CNC(=O)c2ccc(F)c(-c3ccc(N4CCN(C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N[*:2])C(C)(C)C)cc1,O=C(CN[*:1])[*:2],CN1CCN(c2ccc(-c3cc(C(=O)[*:1])ccc3F)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,NCC=O,CN1CCN(c2ccc(-c3cc(C=O)ccc3F)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,Manually mapped
