PROTAC SMILES,POI Ligand SMILES with direction,E3 Binder SMILES with direction,Linker SMILES with direction,POI Ligand SMILES,E3 Binder SMILES,Linker SMILES,PROTAC ID,POI Ligand ID,E3 Binder ID,Linker ID,Notes
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CC(=O)N2CCN(CC[C@H](CSc3ccccc3)Nc3ccc(S(=O)(=O)NC(=O)c4ccc(N5CCN(CC6=C(c7ccc(Cl)cc7)CCC(C)(C)C6)CC5)cc4)cc3S(=O)(=O)C(F)(F)F)CC2)C(C)(C)C)cc1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCN([*:1])CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CC(=O)[*:2])[*:1],CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCNCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,O=CCC=O,49a03a3b61466dad4b2d6c93e2a414f1667fd082cdb01cbae8769d276445fe79,f1e9dd035850e3d9ea9d963e8e56e35727c1f3f5d13e8ce6251c005aa60b9123,cf4457150f1873ce6ef20e6f354cf324cc8e8eba9ec8f32c4e913aaf6ab6052c,3a4eec8c544fdde15aa364729e77eb53f5f9bf2616f8ead0404bb6c8d12dccaf,(max_iter_on_linkers=0)(map_with_substr_and_linker_matching=False)(morgan_radius=2)(morgan_fp_size=2048)(matching_poi=True)(matching_e3=True)(matching_linker=None)(amide_bonds_fixed=False)(ester_bonds_fixed=False)(step=0)
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCC(=O)N2CCN(CC[C@H](CSc3ccccc3)Nc3ccc(S(=O)(=O)NC(=O)c4ccc(N5CCN(CC6=C(c7ccc(Cl)cc7)CCC(C)(C)C6)CC5)cc4)cc3S(=O)(=O)C(F)(F)F)CC2)C(C)(C)C)cc1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCN([*:1])CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CCC(=O)[*:2])[*:1],CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCNCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,O=CCCC=O,18e7bb65d5060970d1cd06be071c921db68efccdcc640cf5e0334c3425f5fbde,f1e9dd035850e3d9ea9d963e8e56e35727c1f3f5d13e8ce6251c005aa60b9123,cf4457150f1873ce6ef20e6f354cf324cc8e8eba9ec8f32c4e913aaf6ab6052c,59b68ff77f29cdbef9504a92b1753d25c4a8eb77b5bb5b0fd96e1efe79b960e0,(max_iter_on_linkers=0)(map_with_substr_and_linker_matching=False)(morgan_radius=2)(morgan_fp_size=2048)(matching_poi=True)(matching_e3=True)(matching_linker=None)(amide_bonds_fixed=False)(ester_bonds_fixed=False)(step=0)
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCC(=O)N2CCN(CC[C@H](CSc3ccccc3)Nc3ccc(S(=O)(=O)NC(=O)c4ccc(N5CCN(CC6=C(c7ccc(Cl)cc7)CCC(C)(C)C6)CC5)cc4)cc3S(=O)(=O)C(F)(F)F)CC2)C(C)(C)C)cc1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCN([*:1])CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CCCC(=O)[*:2])[*:1],CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCNCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,O=CCCCC=O,25820cb263cfbb45588cc1c61bc603f6e16554b1fe2aae913c5f47b4ba4ca326,f1e9dd035850e3d9ea9d963e8e56e35727c1f3f5d13e8ce6251c005aa60b9123,cf4457150f1873ce6ef20e6f354cf324cc8e8eba9ec8f32c4e913aaf6ab6052c,cbf54fb0007ef377196838cd7ea622836d217b20d346f435e11e8848e29a0637,(max_iter_on_linkers=0)(map_with_substr_and_linker_matching=False)(morgan_radius=2)(morgan_fp_size=2048)(matching_poi=True)(matching_e3=True)(matching_linker=None)(amide_bonds_fixed=False)(ester_bonds_fixed=False)(step=0)
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCC(=O)N2CCN(CC[C@H](CSc3ccccc3)Nc3ccc(S(=O)(=O)NC(=O)c4ccc(N5CCN(CC6=C(c7ccc(Cl)cc7)CCC(C)(C)C6)CC5)cc4)cc3S(=O)(=O)C(F)(F)F)CC2)C(C)(C)C)cc1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCN([*:1])CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CCCCC(=O)[*:2])[*:1],CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCNCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,O=CCCCCC=O,5668effb2065eeddb2b6d5696cf0b690b750a4bc98a75b39ecdbf0e28e3aaec8,f1e9dd035850e3d9ea9d963e8e56e35727c1f3f5d13e8ce6251c005aa60b9123,cf4457150f1873ce6ef20e6f354cf324cc8e8eba9ec8f32c4e913aaf6ab6052c,32653827b889ee4c4c8d01b15b11df6ad60b075189c63839daee0616dfcc17e9,(max_iter_on_linkers=0)(map_with_substr_and_linker_matching=False)(morgan_radius=2)(morgan_fp_size=2048)(matching_poi=True)(matching_e3=True)(matching_linker=None)(amide_bonds_fixed=False)(ester_bonds_fixed=False)(step=0)
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCC(=O)N2CCN(CC[C@H](CSc3ccccc3)Nc3ccc(S(=O)(=O)NC(=O)c4ccc(N5CCN(CC6=C(c7ccc(Cl)cc7)CCC(C)(C)C6)CC5)cc4)cc3S(=O)(=O)C(F)(F)F)CC2)C(C)(C)C)cc1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCN([*:1])CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CCCCCC(=O)[*:2])[*:1],CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCNCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,O=CCCCCCC=O,b2424a2196dd9ee8d68169f1f1e190f814c23ec955a664a808d75222a5babe18,f1e9dd035850e3d9ea9d963e8e56e35727c1f3f5d13e8ce6251c005aa60b9123,cf4457150f1873ce6ef20e6f354cf324cc8e8eba9ec8f32c4e913aaf6ab6052c,c38265985a385f071e8af6f1422a1a2d0ec7ed20b4be7b407789744c24599c97,(max_iter_on_linkers=0)(map_with_substr_and_linker_matching=False)(morgan_radius=2)(morgan_fp_size=2048)(matching_poi=True)(matching_e3=True)(matching_linker=None)(amide_bonds_fixed=False)(ester_bonds_fixed=False)(step=0)
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCC(=O)N2CCN(CC[C@H](CSc3ccccc3)Nc3ccc(S(=O)(=O)NC(=O)c4ccc(N5CCN(CC6=C(c7ccc(Cl)cc7)CCC(C)(C)C6)CC5)cc4)cc3S(=O)(=O)C(F)(F)F)CC2)C(C)(C)C)cc1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCN([*:1])CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CCCCCCC(=O)[*:2])[*:1],CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCNCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,O=CCCCCCCC=O,76dc59c777112690f13bb621761af14afa9ab5d4c6b57a8b7c7c6a019c722cc6,f1e9dd035850e3d9ea9d963e8e56e35727c1f3f5d13e8ce6251c005aa60b9123,cf4457150f1873ce6ef20e6f354cf324cc8e8eba9ec8f32c4e913aaf6ab6052c,f6f8764ec08d8468c6eee36178d205922c6a902226c0e54942580422ab499076,(max_iter_on_linkers=0)(map_with_substr_and_linker_matching=False)(morgan_radius=2)(morgan_fp_size=2048)(matching_poi=True)(matching_e3=True)(matching_linker=None)(amide_bonds_fixed=False)(ester_bonds_fixed=False)(step=0)
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCN2CCN(CC[C@H](CSc3ccccc3)Nc3ccc(S(=O)(=O)NC(=O)c4ccc(N5CCN(CC6=C(c7ccc(Cl)cc7)CCC(C)(C)C6)CC5)cc4)cc3S(=O)(=O)C(F)(F)F)CC2)C(C)(C)C)cc1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCN([*:1])CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CCCC[*:1])[*:2],CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCNCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,CCCCC=O,dc2a2f3993c71254b9e68a40f1642fe73441525bdf7c518e8e2ba39b0ca3aaf5,f1e9dd035850e3d9ea9d963e8e56e35727c1f3f5d13e8ce6251c005aa60b9123,cf4457150f1873ce6ef20e6f354cf324cc8e8eba9ec8f32c4e913aaf6ab6052c,4ed89947157327d1731bbed4c88e3080d750cb7d6df01c21c738d90adcdc7eb8,(max_iter_on_linkers=0)(map_with_substr_and_linker_matching=False)(morgan_radius=2)(morgan_fp_size=2048)(matching_poi=True)(matching_e3=True)(matching_linker=None)(amide_bonds_fixed=False)(ester_bonds_fixed=False)(step=0)
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCN2CCN(CC[C@H](CSc3ccccc3)Nc3ccc(S(=O)(=O)NC(=O)c4ccc(N5CCN(CC6=C(c7ccc(Cl)cc7)CCC(C)(C)C6)CC5)cc4)cc3S(=O)(=O)C(F)(F)F)CC2)C(C)(C)C)cc1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCN([*:1])CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CCCCC[*:1])[*:2],CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCNCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,CCCCCC=O,b6e70c21b084b8520063738105b77bc63553a2a1e829d203b18e087a5d828e7f,f1e9dd035850e3d9ea9d963e8e56e35727c1f3f5d13e8ce6251c005aa60b9123,cf4457150f1873ce6ef20e6f354cf324cc8e8eba9ec8f32c4e913aaf6ab6052c,b685b925df87180671b46cb233f59e964bda4c2afe8737e6bf24df689344a14d,(max_iter_on_linkers=0)(map_with_substr_and_linker_matching=False)(morgan_radius=2)(morgan_fp_size=2048)(matching_poi=True)(matching_e3=True)(matching_linker=None)(amide_bonds_fixed=False)(ester_bonds_fixed=False)(step=0)
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCN2CCN(CC[C@H](CSc3ccccc3)Nc3ccc(S(=O)(=O)NC(=O)c4ccc(N5CCN(CC6=C(c7ccc(Cl)cc7)CCC(C)(C)C6)CC5)cc4)cc3S(=O)(=O)C(F)(F)F)CC2)C(C)(C)C)cc1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCN([*:1])CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CCCCCC[*:1])[*:2],CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCNCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,CCCCCCC=O,0e91a3240bfbfda28bba03685ea5be546249b4f76bdb9751e59b54ccd3921970,f1e9dd035850e3d9ea9d963e8e56e35727c1f3f5d13e8ce6251c005aa60b9123,cf4457150f1873ce6ef20e6f354cf324cc8e8eba9ec8f32c4e913aaf6ab6052c,adc2675911aa906f0a9f85ad60887bef59373651e717eb27d669f0a259fe1e62,(max_iter_on_linkers=0)(map_with_substr_and_linker_matching=False)(morgan_radius=2)(morgan_fp_size=2048)(matching_poi=True)(matching_e3=True)(matching_linker=None)(amide_bonds_fixed=False)(ester_bonds_fixed=False)(step=0)
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCCN2CCN(CC[C@H](CSc3ccccc3)Nc3ccc(S(=O)(=O)NC(=O)c4ccc(N5CCN(CC6=C(c7ccc(Cl)cc7)CCC(C)(C)C6)CC5)cc4)cc3S(=O)(=O)C(F)(F)F)CC2)C(C)(C)C)cc1,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCN([*:1])CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CCCCCCC[*:1])[*:2],CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCNCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,CCCCCCCC=O,f2324dd8e4d2ecf4c9edb0c20049ce2863e8964c894917c916a23e7f7ceee0de,f1e9dd035850e3d9ea9d963e8e56e35727c1f3f5d13e8ce6251c005aa60b9123,cf4457150f1873ce6ef20e6f354cf324cc8e8eba9ec8f32c4e913aaf6ab6052c,a5e4a139ac5ee2d7189c04d497860d22ba02170971ade0dd026991fd860925da,(max_iter_on_linkers=0)(map_with_substr_and_linker_matching=False)(morgan_radius=2)(morgan_fp_size=2048)(matching_poi=True)(matching_e3=True)(matching_linker=None)(amide_bonds_fixed=False)(ester_bonds_fixed=False)(step=0)
